************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*      923 *         3 *       176 *        14 *         7 *         2 *        17 *         2 *         4 *         4 *         1 *         2 *         2 *         2 *         2 *        F4 * small_rus *
*      924 *         3 *       177 *        14 *         8 *         2 *        17 *         3 *         4 *         4 *         1 *         3 *         2 *         2 *         2 *        FC * small_rus *
*      925 *         3 *       178 *        14 *         9 *         2 *        18 *         1 *         4 *         4 *         1 *         4 *         2 *         2 *         3 *        FC * small_rus *
*      926 *         3 *       179 *        14 *        10 *         2 *        18 *         2 *         4 *         4 *         1 *         5 *         2 *         2 *         3 *        EC * small_rus *
*      927 *         3 *       180 *        14 *        11 *         2 *        18 *         3 *         4 *         4 *         1 *         6 *         2 *         2 *         3 *        E4 * small_rus *
*      928 *         3 *       186 *        15 *         5 *         2 *        12 *         6 *         4 *         4 *         0 *         0 *         2 *         2 *         2 *        E6 * small_rus *
*      929 *         3 *       187 *        15 *         6 *         2 *        14 *        14 *         4 *         4 *         0 *         1 *         2 *         2 *         2 *        EE * small_rus *
*      930 *         3 *       188 *        15 *         7 *         2 *        14 *        15 *         4 *         4 *         0 *         2 *         2 *         2 *         2 *        F6 * small_rus *
*      931 *         3 *       189 *        15 *         8 *         2 *        14 *        16 *         4 *         4 *         0 *         3 *         2 *         2 *         2 *        FE * small_rus *
*      932 *         3 *       190 *        15 *         9 *         2 *        16 *         1 *         4 *         4 *         0 *         4 *         2 *         2 *         3 *        FE * small_rus *
*      933 *         3 *       191 *        15 *        10 *         2 *        16 *         2 *         4 *         4 *         0 *         5 *         2 *         2 *         3 *        EE * small_rus *
*      934 *         3 *       192 *        15 *        11 *         2 *        16 *         3 *         4 *         4 *         0 *         6 *         2 *         2 *         3 *        E6 * small_rus *
*      935 *         3 *       198 *        16 *         5 *         2 *        12 *         5 *         4 *         3 *         3 *         1 *         2 *         1 *         0 *        FA * small_yal *
*      936 *         3 *       199 *        16 *         6 *         2 *        14 *        11 *         4 *         3 *         3 *         2 *         2 *         1 *         0 *        F6 * small_yal *
*      937 *         3 *       200 *        16 *         7 *         2 *        14 *        12 *         4 *         3 *         3 *         3 *         2 *         1 *         0 *        F2 * small_yal *
*      938 *         3 *       201 *        16 *         8 *         2 *        14 *        13 *         4 *         3 *         3 *         4 *         2 *         1 *         0 *        EE * small_yal *
*      939 *         3 *       202 *        16 *         9 *         2 *        15 *         1 *         4 *         3 *         3 *         5 *         2 *         1 *         0 *        EA * small_yal *
*      940 *         3 *       203 *        16 *        10 *         2 *        15 *         3 *         4 *         3 *         3 *         6 *         2 *         1 *         0 *        E6 * small_yal *
*      941 *         3 *       204 *        16 *        11 *         2 *        15 *         2 *         4 *         3 *         3 *         7 *         2 *         1 *         0 *        E2 * small_yal *
*      942 *         3 *       205 *        17 *         0 *         2 *        10 *         8 *         4 *         1 *         0 *         0 *         2 *         2 *         1 *        E0 * small_rus *
*      943 *         3 *       206 *        17 *         1 *         2 *        11 *         5 *         4 *         1 *         1 *         0 *         2 *         2 *         1 *        EC * small_rus *
*      944 *         3 *       207 *        17 *         2 *         2 *        11 *         6 *         4 *         1 *         2 *         0 *         2 *         2 *         1 *        F4 * small_rus *
*      945 *         3 *       208 *        17 *         3 *         2 *        11 *         7 *         4 *         1 *         3 *         0 *         2 *         2 *         1 *        FA * small_rus *
*      946 *         3 *       209 *        17 *         4 *         2 *        11 *         8 *         4 *         3 *         2 *         0 *         2 *         1 *         0 *        FC * small_yal *
*      947 *         3 *       210 *        17 *         5 *         2 *        11 *         9 *         4 *         3 *         2 *         1 *         2 *         1 *         0 *        F8 * small_yal *
*      948 *         3 *       211 *        17 *         6 *         2 *        14 *         8 *         4 *         3 *         2 *         2 *         2 *         1 *         0 *        F4 * small_yal *
*      949 *         3 *       212 *        17 *         7 *         2 *        14 *         9 *         4 *         3 *         2 *         3 *         2 *         1 *         0 *        F0 * small_yal *
*      950 *         3 *       213 *        17 *         8 *         2 *        14 *        10 *         4 *         3 *         2 *         4 *         2 *         1 *         0 *        EC * small_yal *
*      951 *         3 *       214 *        17 *         9 *         2 *        14 *         1 *         4 *         3 *         2 *         5 *         2 *         1 *         0 *        E8 * small_yal *
*      952 *         3 *       215 *        17 *        10 *         2 *        14 *         2 *         4 *         3 *         2 *         6 *         2 *         1 *         0 *        E4 * small_yal *
*      953 *         3 *       216 *        17 *        11 *         2 *        14 *         3 *         4 *         3 *         2 *         7 *         2 *         1 *         0 *        E0 * small_yal *
